 SWG ID,Date,Collector,Plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M/F,Size,Notes,Field_collector,field_plant_sp,Determined by,Specimen ID status,Status notes,full_plant_sp,TRUE_SP,UT_ID,diversity_exclude,network_exclude,other_exclude,Morphospecies,Site,Plot,Taxon
SWG23_0067,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0068,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0069,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0070,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Buprestidae,Acmaeodera,mixta,,,,E. Rivera,GAPU,,,,,,,,,,,,,
SWG23_0071,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Dermestidae,,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0072,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Dermestidae,,,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0073,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Curculionidae,,,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0074,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Hymenoptera,Halictidae?,,,,,,M. Caballero,RUHI2,,,,,,,,,,,,,
SWG23_0075,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Hymenoptera,Vespidae,,,,,,E. Rivera,ASVI2,,,,,,,,,,,,,
SWG23_0076,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Hymenoptera,Sphecidae,,,,,,H. Afshar,ASVI2,,,,,,,,,,,,,
SWG23_0077,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Coleoptera,Chrysomelidae,,,,,,H. Afshar,RUHI2,,,,,,,,,,,,,
