ITIS_name,USDA_name,USDA_code,not_in_data,Lifespan,Nativity,Seeded/Adventive,Flower Color
Hedeoma drummondii,Hedeoma drummondii,HEDR,F,Annual,N,Adventive,"White, Pink, Purple"
Helianthus maximiliani,Helianthus maximiliani,HEMA2,F,Perennial,N,Adventive,"Yellow, Brown"
Helenium microcephalum var. microcephalum,Helenium microcephalum var. microcephalum,HEMIM,F,Annual,N,Adventive,"Red, Yellow, Green, Brown"
Hedeoma reverchonii var. reverchonii,Hedeoma reverchonii var. reverchonii,HERER,F,Perennial,N,Adventive,"White, Pink, Purple"
Heterotheca subaxillaris,Heterotheca subaxillaris,HESU3,F,Annual,N,Adventive,Yellow
Heliotropium tenellum,Heliotropium tenellum,HETE3,F,Annual,N,Adventive,White
Houstonia parviflora,Houstonia parviflora,HOPA3,F,Annual,N,Adventive,"White, Blue"
Houstonia pusilla,Houstonia pusilla,HOPU3,F,Annual,N,Adventive,"White, Blue"
Hypericum drummondii,Hypericum drummondii,HYDR,F,Annual,N,Adventive,Yellow
Hymenopappus scabiosaeus,Hymenopappus scabiosaeus,HYSC,F,Biennial,N,Adventive,White
Indigofera miniata,Indigofera miniata,INMI,F,Perennial,N,Adventive,Pink
Ipomoea lacunosa,Ipomoea lacunosa,IPLA,F,Annual,N,Adventive,White
Ipomopsis rubra,Ipomopsis rubra,IPRU2,F,Biennial,N,Adventive,"Red, Orange, Yellow"
Krigia spp.,Krigia spp.,KRIGI,F,NA,NA,Adventive,NA
Krameria lanceolata,Krameria lanceolata,KRLA,F,Perennial,N,Adventive,"Red, Purple"
Lamium amplexicaule,Lamium amplexicaule,LAAM,F,Annual,I,Adventive,Pink
Lathyrus hirsutus,Lathyrus hirsutus,LAHI2,F,Annual,I,Adventive,"Pink, Purple"
Lappula occidentalis,Lappula occidentalis,LAOC3,F,"Annual, Biennial",N,Adventive,"White, Blue"
Lactuca serriola,Lactuca serriola,LASE,F,"Annual, Biennial",I,Adventive,Yellow
Lantana horrida,Lantana urticoides,LAUR2,F,Perennial,N,Adventive,"Red, Orange,Yellow"
Lespedeza cuneata,Lespedeza cuneata,LECU,F,Perennial,I,Adventive,White
Physaria engelmannii,Lesquerella engelmannii,LEEN,F,Perennial,N,Adventive,Yellow
Physaria recurvata,Lesquerella recurvata,LERE4,F,Annual,N,Adventive,Yellow
Lespedeza texana,Lespedeza texana,LETE2,F,Perennial,N,Adventive,"Pink, Purple"
Lepidium virginicum,Lepidium virginicum,LEVI3,F,Annual,N,Adventive,White
Leucanthemum vulgare,Leucanthemum vulgare,LEVU,F,Perennial,I,Adventive,"White, Yellow"
Lithospermum incisum,Lithospermum incisum,LIIN2,F,Perennial,N,Adventive,Yellow
Linum pratense,Linum pratense,LIPR,F,Annual,N,Adventive,"White, Blue"
Liatris punctata var. mucronata,Liatris punctata var. mucronata,LIPUM2,F,Perennial,N,Adventive,"Pink, Purple"
Linum rigidum,Linum rigidum,LIRI,F,Annual,N,Adventive,"Red, Orange, Yellow"
Lindheimera texana,Lindheimera texana,LITE3,F,Annual,N,Adventive,Yellow
Lotus corniculatus,Lotus corniculatus,LOCO6,F,Perennial,I,Adventive,Yellow
Acmispon americanus var. americanus,Lotus unifoliolatus,LOUNU,F,Annual,N,Adventive,"White, Pink"
Lupinus texensis,Lupinus texensis,LUTE,F,Annual,N,Adventive,"White, Blue"
Lythrum alatum var. lanceolatum,Lythrum alatum var. lanceolatum,LYALL,F,Perennial ,N,Adventive,"Pink, Purple"
Lythrum californicum,Lythrum californicum,LYCA4,F,Perennial ,N,Adventive,Purple
Lygodesmia texana,Lygodesmia texana,LYTE,F,Perennial ,N,Adventive,"Pink, Purple"
Matelea biflora,Matelea biflora,MABI6,F,Perennial ,N,Adventive,"Purple, Brown"
Melilotus officinalis,Melilotus officinalis,MEOF,F,"Annual, Biennial",I,Adventive,Yellow
Medicago sp.,Medicago sp.,MEDIC,F,NA,NA,Adventive,NA
Melilotus albus,Melilotus albus,MEAL2,F,"Annual, Biennial",I,Adventive,"White, Yellow"
Melampodium leucanthum,Melampodium leucanthum,MELE2,F,Perennial,N,Adventive,"White, Yellow"
Medicago lupulina,Medicago lupulina,MELU,F,"Annual, Perennial",I,Adventive,Yellow
Medicago minima,Medicago minima,MEMI,F,Annual,I,Adventive,Yellow
Mentzelia oligosperma,Mentzelia oligosperma,MEOL,F,Perennial,N,Adventive,"Orange, Yellow"
Medicago sativa,Medicago sativa,MESA,F,Perennial,I,Adventive,Purple
Mirabilis albida,Mirabilis albida,MIAL4,F,Perennial,N,Adventive,"White, Red, Pink, Violet"
Mirabilis linearis,Mirabilis linearis,MILI3,F,Perennial,N,Adventive,"White, Pink, Purple"
Mimosa nuttallii,Mimosa nuttallii,MINU6,F,Perennial,N,Adventive,Pink
Monarda citriodora,Monarda citriodora,MOCI,F,Annual,N,Seeded,"White, Pink, Purple"
Monarda fistulosa,Monarda fistulosa,MOFI,F,Perennial,N,Adventive,"White, Pink, Purple"
Monarda punctata,Monarda punctata,MOPU,F,Perennial,N,Adventive,"White, Pink, Yellow, Green, Purple"
Mollugo verticillata,Mollugo verticillata,MOVE,F,Annual,N,Adventive,"White, Green"
Myosotis macrosperma,Myosotis macrosperma,MYMA,F,Annual,N,Adventive,White
Myosotis verna,Myosotis verna,MYVE,F,Annual,N,Adventive,White
